JsonPath,ImageInfPath,ImagePath,ImageName,MaskIndex,Score,Area,Intensity,Ratio,Perimeter,Compactness,AspectRatio,Circularity,Roundness,CentroidX,CentroidY,HuMoment_1,HuMoment_2,HuMoment_3,HuMoment_4,HuMoment_5,HuMoment_6,HuMoment_7,FourierDescriptor1,FourierDescriptor2,FourierDescriptor3,FourierDescriptor4,FourierDescriptor5,ProjectName,StrainName,TimeMin,Time,SeriesName
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.png,0,0.999194324016571,1128.5,31.80691399662732,35.47970734034939,127.49747395515442,14.404613083690988,1.1111111111111112,0.8723851547659349,0.9446750994303952,98,80,0.1603916406922822,0.0003073192606208,6.3238957009906e-06,2.4165269995825608e-08,8.878985382213533e-16,1.3089548569145282e-10,-9.40487401186918e-15,5303.0,-51.03598564511743,11.88661022996255,-0.3854988941516364,-9.425135661275409,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_100_0_crop_region_bitwise.png,1,0.999194324016571,1059.0,28.766397124887693,36.8137864259612,121.74011445045473,13.994953226071589,1.0555555555555556,0.8979215872582503,0.9849237968404216,109,118,0.1598509075405572,0.0001006280422133,7.730979069718743e-06,1.967433029146537e-08,-1.3894471761842812e-15,-1.5479302591540572e-11,-7.546184760422948e-15,4858.0,31.49645449441445,-17.3605978819957,-26.32506949936363,-29.156617659411992,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,3,0.9978625178337096,957.0,19.983234714003945,47.89014459852934,133.53910386562347,18.63395220609589,1.3055555555555556,0.6743803180008275,0.4641241625542738,104,133,0.2209132027038468,0.0218229617737583,0.0004690133035867,5.139811828098014e-05,1.0276607789736615e-09,-6.720662638219485e-07,7.913747412185085e-09,6369.0,392.12060240985215,64.74188350699441,-5.822200762862957,-3.580781056315936,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,4,0.3036167919635772,990.5,15.629310344827584,63.374517374517374,122.81118178367616,15.227245200507976,1.2727272727272727,0.8252556814373727,0.7290691969357547,98,67,0.1679833534666899,0.0025458380233766,8.330563872826813e-05,1.855584210317557e-06,7.129161218589459e-12,2.734557972687797e-08,-2.194142108498811e-11,5776.0,-105.3233754615745,8.756136016532885,-14.343475766381587,-21.864755702925827,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,5,0.3036167919635772,1.0,30.5,0.0327868852459016,4.0,16.0,1.0,0.7853981633974483,1.2732395447351628,97,125,0.1666666666642413,0.0,5.855776992385395e-20,5.103969077248199e-19,-4.5865782896022085e-38,0.0,7.538054505173049e-38,390.0,0.0,0.0,-2.0,,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_10_0_crop_region_bitwise.png,5,0.3036167919635772,1385.5,12.1978021978022,113.58603603603602,158.46803605556488,18.124950163340174,0.7959183673469388,0.6933189057686969,0.7656568529646562,87,103,0.1702114304818665,0.001827544060594,0.0003826449229157,1.078105309477288e-05,6.770764832904563e-10,4.6059200637036716e-07,1.4511163603006788e-10,5695.0,174.79104750412318,23.22498917718228,3.694217589555456,-17.06242227338668,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_112_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_112_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_112_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_112_0_crop_region_bitwise.png,6,0.9982671737670898,144.0,51.2710843373494,2.8086006344730348,46.97056233882904,15.321067544623784,0.9333333333333332,0.8202020242883633,0.9354412981727728,49,103,0.1667879369451193,0.0015561833842406,0.0001670893774793,9.73539910655158e-07,-8.415141128984976e-12,-3.1042338791687645e-08,-9.130117100869926e-12,1026.0,-25.80853059424916,-10.515893997826929,-1.8281395300910024,-1.412859527099405,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_114_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_114_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_114_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_114_0_crop_region_bitwise.png,7,0.9982671737670898,1206.5,24.52160251374705,49.20151524859047,151.2964632511139,18.972747444919733,0.7755102040816326,0.6623379481986424,0.655425202136821,69,103,0.1679409313370996,0.0015925483000682,3.3691604387287166e-05,2.16409209544008e-06,-7.0254357411837216e-12,-2.9926979270095504e-08,1.709123711259827e-11,5476.0,108.28600920590527,-37.22743192062253,-39.04093138994254,-68.5589486983534,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.png,8,0.9944224953651428,0.0,23.0,0.0,2.0,0.0,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,,,,Project000_YSIY884,YSIY884,480min,480,Series015
/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/preds/crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.json,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/mmdet_results/vis/crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.png,/workspace/demo_image/Project000_YSIY884/CPsegm_PSM/crop_Series015_480min_Lng_SVCC_Processed001_ch01/bitwise_image/crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.png,crop_Series015_480min_Lng_SVCC_Processed001_ch01_117_0_crop_region_bitwise.png,8,0.9944224953651428,1426.5,25.148416886543536,56.72325245901639,202.26702558994293,28.679950677183754,0.8235294117647058,0.4381587247413333,0.7387176386708935,114,79,0.1878106894500531,0.0051109000966791,0.0005220964205196,1.3327433471979e-05,-8.054180901798242e-10,2.376480839839011e-07,7.663037829188526e-10,11290.0,266.87979650035385,-198.03052484139312,6.757531997824177,101.67028060557982,Project000_YSIY884,YSIY884,480min,480,Series015
